name,taste,environment,service,price,comment-volume,link
麦当劳(梅林路店),7.5,7.6,7.6,32,41,http://www.dianping.com/shop/80997377
麦当劳(深南东路店),7.6,7.7,7.6,29,63,http://www.dianping.com/shop/4519844
麦当劳(民田路店),7.3,7.1,7.0,32,34,http://www.dianping.com/shop/90300822
麦当劳(迎宾路店),7.2,7.1,7.0,25,22,http://www.dianping.com/shop/20730410
麦当劳(科苑路店),7.6,7.7,7.8,26,30,http://www.dianping.com/shop/92861272
麦当劳(滨海大道得来速店),7.0,7.1,7.3,51,73,http://www.dianping.com/shop/32375816
麦当劳(人民南路店),7.8,7.9,7.7,26,83,http://www.dianping.com/shop/10005911
麦当劳(南新路店),7.5,7.3,7.3,29,123,http://www.dianping.com/shop/4193648
麦当劳(梅华店),7.1,7.0,6.8,19,70,http://www.dianping.com/shop/2929933
麦当劳(皇岗路店),7.6,7.6,7.5,0,14,http://www.dianping.com/shop/98564789
麦当劳(观光路DT店),7.4,7.4,7.3,22,32,http://www.dianping.com/shop/48081293
麦当劳(龙胜分店),7.5,7.5,7.3,26,38,http://www.dianping.com/shop/67697791
麦当劳(宝安大道店),7.2,7.1,7.0,41,44,http://www.dianping.com/shop/6216347
麦当劳(新安店),7.0,7.0,7.0,41,49,http://www.dianping.com/shop/2930029
麦当劳(皇岗村店),7.2,7.2,7.2,29,45,http://www.dianping.com/shop/8672253
麦当劳(白龙路店),7.3,7.3,7.2,21,26,http://www.dianping.com/shop/22419018
麦当劳(宝安店),7.3,7.3,7.2,24,27,http://www.dianping.com/shop/58001137
麦当劳(桂庙路店),7.1,7.1,7.0,25,68,http://www.dianping.com/shop/4723511
麦当劳(新洲南路店),7.5,7.5,7.5,30,53,http://www.dianping.com/shop/6107147
麦当劳(松园路店),7.4,7.3,7.2,20,66,http://www.dianping.com/shop/2929702
麦当劳(绒花路店),7.2,7.2,7.1,23,55,http://www.dianping.com/shop/6073240
麦当劳(龙华和平东路店),7.4,7.4,7.4,28,34,http://www.dianping.com/shop/5234989
麦当劳(大和路DT店),7.3,7.3,7.3,26,20,http://www.dianping.com/shop/40348139
麦当劳(世界之窗地铁站店),7.5,7.4,7.3,26,142,http://www.dianping.com/shop/5695340
麦当劳(龙城店),7.3,7.4,7.4,26,63,http://www.dianping.com/shop/2929870
麦当劳(深南中路店),7.1,7.1,7.0,20,39,http://www.dianping.com/shop/26227571
麦当劳(海山路店),7.4,7.4,7.3,22,28,http://www.dianping.com/shop/6352054
麦当劳(梅龙路店),7.3,7.3,7.2,28,31,http://www.dianping.com/shop/27001421
麦当劳(花园城中心店),7.3,7.2,6.9,22,119,http://www.dianping.com/shop/3553333
麦当劳(泰宁店),7.4,7.5,7.5,27,72,http://www.dianping.com/shop/2929924
麦当劳(时代城购物广场店),7.4,7.5,7.2,21,40,http://www.dianping.com/shop/10646469
麦当劳(高新中五道店),7.3,7.5,7.3,30,58,http://www.dianping.com/shop/17874211
麦当劳(新沙路店),7.5,7.3,7.4,28,58,http://www.dianping.com/shop/21712903
麦当劳(沙盐路店),7.3,7.4,7.2,26,30,http://www.dianping.com/shop/22427760
麦当劳(天安数码城店),7.5,7.5,7.3,20,92,http://www.dianping.com/shop/3325396
麦当劳(kk one店),7.5,7.6,7.5,28,45,http://www.dianping.com/shop/67697740
麦当劳(沙河店),7.4,7.3,7.3,23,47,http://www.dianping.com/shop/4589016
麦当劳(卓越世纪中心店),7.2,7.1,7.0,26,25,http://www.dianping.com/shop/60845782
麦当劳(佳宁娜店),7.2,7.4,7.4,16,45,http://www.dianping.com/shop/66885002
麦当劳(金田II店),7.5,7.5,7.4,25,91,http://www.dianping.com/shop/4587463
麦当劳(大梅沙店),7.2,7.3,7.3,28,83,http://www.dianping.com/shop/2929918
麦当劳(凱利萊店),7.3,7.4,7.4,43,42,http://www.dianping.com/shop/2929834
麦当劳(黄贝岭店),7.4,7.4,7.4,26,15,http://www.dianping.com/shop/80997397
麦当劳(南岭村店),7.2,7.2,7.2,28,48,http://www.dianping.com/shop/15999279
麦当劳(嘉宾路店),7.9,7.8,7.9,32,51,http://www.dianping.com/shop/8672267
麦当劳(民乐村店),7.5,7.4,7.5,26,45,http://www.dianping.com/shop/8655574
麦当劳(新湖路二店),7.7,7.7,7.7,17,41,http://www.dianping.com/shop/23429050
麦当劳(布心店),7.3,7.4,7.3,29,50,http://www.dianping.com/shop/8672268
麦当劳(园岭中路分店),7.2,7.2,7.1,29,37,http://www.dianping.com/shop/69102823
麦当劳(坂田天安DT店),7.6,7.8,7.6,25,67,http://www.dianping.com/shop/66884971
麦当劳(坪山店),7.4,7.3,7.2,25,22,http://www.dianping.com/shop/2929828
麦当劳(新洲九街店),7.2,7.4,7.4,26,17,http://www.dianping.com/shop/69917661
麦当劳(新闻路店),7.3,7.3,7.4,36,54,http://www.dianping.com/shop/13894424
麦当劳(高新南环路店),7.3,7.3,7.3,26,27,http://www.dianping.com/shop/16404733
麦当劳(深惠路店),7.2,7.4,7.3,27,40,http://www.dianping.com/shop/4669346
麦当劳(火车站店),6.8,6.8,6.8,27,53,http://www.dianping.com/shop/2929687
麦当劳(洪湖店),7.5,7.4,7.5,23,73,http://www.dianping.com/shop/2930014
麦当劳(上沙店),7.2,7.2,7.2,28,93,http://www.dianping.com/shop/2929720
麦当劳(南海大道店),7.2,7.3,7.2,27,60,http://www.dianping.com/shop/4545917
麦当劳(前进路店),7.4,7.4,7.4,27,27,http://www.dianping.com/shop/5700731
麦当劳(保利文化广场店),7.7,7.5,7.3,22,90,http://www.dianping.com/shop/6083349
麦当劳(民治大道店),7.2,7.4,7.3,23,64,http://www.dianping.com/shop/4587058
麦当劳(红宝店),7.3,7.4,7.5,22,52,http://www.dianping.com/shop/2930074
麦当劳(福永店),7.3,7.4,7.3,42,33,http://www.dianping.com/shop/2929711
麦当劳(春风店),7.5,7.4,7.4,22,32,http://www.dianping.com/shop/2929861
麦当劳(东门店),7.7,7.7,7.7,25,49,http://www.dianping.com/shop/65344170
麦当劳(太宁路店),7.3,7.3,7.3,26,8,http://www.dianping.com/shop/20862711
麦当劳(锦绣江南餐厅),7.3,7.4,7.3,30,40,http://www.dianping.com/shop/8692473
麦当劳(深圳麦当劳金稻田路餐),7.3,7.4,7.3,26,31,http://www.dianping.com/shop/68173003
麦当劳(布吉罗冈路店),7.3,7.3,7.2,23,20,http://www.dianping.com/shop/4589010
麦当劳(锦龙路店),7.3,7.3,7.2,26,29,http://www.dianping.com/shop/9037427
麦当劳(龙福路店),7.3,7.3,7.2,26,23,http://www.dianping.com/shop/8030906
麦当劳(宇华街店),7.2,7.2,7.2,33,41,http://www.dianping.com/shop/45333357
麦当劳(深圳石岩得来速店),7.4,7.3,7.2,21,26,http://www.dianping.com/shop/2929726
麦当劳(新州店),7.4,7.5,7.7,25,53,http://www.dianping.com/shop/2929783
麦当劳(宝安北路店),7.2,7.2,7.2,26,9,http://www.dianping.com/shop/20863086
麦当劳(山东纵路店),7.4,7.2,7.5,0,5,http://www.dianping.com/shop/98400414
麦当劳(华旺路店),7.4,7.4,7.4,26,12,http://www.dianping.com/shop/8665853
麦当劳(易达店),7.4,7.4,7.4,26,41,http://www.dianping.com/shop/2929771
麦当劳龙观路餐厅,7.6,7.6,7.5,0,15,http://www.dianping.com/shop/92920940
