name,taste,environment,service,price,comment-volume,link
肯德基(国都店),7.2,7.2,7.2,15,30,http://www.dianping.com/shop/68526235
肯德基(布吉三联DT店),7.1,7.1,7.1,30,40,http://www.dianping.com/shop/19805592
肯德基(科兴店),7.5,7.5,7.2,0,13,http://www.dianping.com/shop/93488542
肯德基(中兴店),7.3,7.4,7.4,28,26,http://www.dianping.com/shop/8068044
肯德基(金山店),7.3,7.4,7.4,21,30,http://www.dianping.com/shop/8006251
肯德基(华强北店),7.6,7.5,7.6,28,9,http://www.dianping.com/shop/74621561
肯德基(坑梓店),7.4,7.5,7.4,21,20,http://www.dianping.com/shop/6299660
肯德基(水贝店),6.4,6.5,6.5,26,368,http://www.dianping.com/shop/93488363
肯德基(六约店),7.2,7.3,7.2,18,21,http://www.dianping.com/shop/2930434
肯德基(松坪山店),6.9,7.1,7.0,24,30,http://www.dianping.com/shop/24082687
肯德基(喜港城店),7.3,7.3,7.3,28,11,http://www.dianping.com/shop/19805571
肯德基(福永店),7.2,7.3,7.2,26,15,http://www.dianping.com/shop/2930290
肯德基(龙平店),7.3,7.3,7.3,27,17,http://www.dianping.com/shop/4592734
肯德基(天虹百货店),7.1,7.1,7.1,0,2,http://www.dianping.com/shop/90926657
肯德基(星河ICO店),7.4,7.4,7.2,37,29,http://www.dianping.com/shop/23670748
肯德基(宝龙店),7.3,7.3,7.3,30,13,http://www.dianping.com/shop/9202791
肯德基(固戍地铁站店),7.4,7.4,7.4,26,33,http://www.dianping.com/shop/3355825
肯德基(天福店),7.4,7.4,7.4,28,12,http://www.dianping.com/shop/19805525
肯德基(新天地店),7.3,7.3,7.2,31,20,http://www.dianping.com/shop/4587506
肯德基(兴融店),7.2,7.2,7.2,0,1,http://www.dianping.com/shop/99811978
肯德基(茶溪谷店),7.1,7.2,7.0,41,16,http://www.dianping.com/shop/41427993
肯德基(六和店),7.2,7.3,7.3,26,18,http://www.dianping.com/shop/19805548
肯德基(金光华广场店),7.6,7.6,7.6,0,5,http://www.dianping.com/shop/93488557
肯德基(坪地店),7.3,7.4,7.3,22,27,http://www.dianping.com/shop/2930464
肯德基(湾畔店),7.2,7.2,7.1,36,53,http://www.dianping.com/shop/2930572
肯德基(平湖店),7.2,7.3,7.2,27,11,http://www.dianping.com/shop/2930461
肯德基(塘尾店),7.3,7.4,7.2,28,17,http://www.dianping.com/shop/48326381
肯德基(如意店),7.4,7.5,7.4,46,20,http://www.dianping.com/shop/4592632
肯德基(葵涌店),7.3,7.4,7.4,37,16,http://www.dianping.com/shop/8030389
肯德基(生态城店),7.2,7.2,7.2,0,2,http://www.dianping.com/shop/99812140
肯德基(南联DT店),7.2,7.3,7.3,28,13,http://www.dianping.com/shop/37952010
肯德基(宝珠店),7.0,7.1,7.0,39,42,http://www.dianping.com/shop/24082842
肯德基(双拥店),7.3,7.4,7.3,28,10,http://www.dianping.com/shop/15626569
肯德基(联投东方店),7.3,7.3,7.3,28,9,http://www.dianping.com/shop/74621608
肯德基(西岸华府店),7.3,7.3,7.3,28,11,http://www.dianping.com/shop/19805572
